Sex,Site,State,Year,Rate
Both,All Sites,Montana,2007,140.6
Both,All Sites,North Carolina,2007,168.5
Both,All Sites,North Dakota,2007,159.3
Both,All Sites,Nebraska,2007,160.7
Both,All Sites,New Hampshire,2007,164.5
Both,All Sites,New Jersey,2007,172.7
Both,All Sites,New Mexico,2007,140.8
Both,All Sites,Nevada,2007,132.7
Both,All Sites,New York,2007,173
Both,All Sites,Ohio,2007,161.6
Both,All Sites,Oklahoma,2007,164.8
Both,All Sites,Oregon,2007,154.2
Both,All Sites,Pennsylvania,2007,174.6
Both,All Sites,Rhode Island,2007,186.2
Both,All Sites,South Carolina,2007,160.4
Both,All Sites,South Dakota,2007,155.4
Both,All Sites,Tennessee,2007,163.7
Both,All Sites,Texas,2007,147.8
Both,All Sites,Utah,2007,146.8
Both,All Sites,Virginia,2007,158.1
Both,All Sites,Vermont,2007,186
Both,All Sites,Washington,2007,149.7
Both,All Sites,Wisconsin,2007,156.3
Both,All Sites,West Virginia,2007,185.3
Both,All Sites,Wyoming,2007,139.5
Both,All Sites,Alaska,2008,152.1
Both,All Sites,Alabama,2008,162.6
Both,All Sites,Arkansas,2008,150.1
Both,All Sites,Arizona,2008,148.6
Both,All Sites,California,2008,143.4
Both,All Sites,Colorado,2008,145
Both,All Sites,Connecticut,2008,170.6
Both,All Sites,District of Columbia,2008,182.8
Both,All Sites,Delaware,2008,186.5
Both,All Sites,Florida,2008,167.6
Both,All Sites,Georgia,2008,160.9
Both,All Sites,Hawaii,2008,165.4
Both,All Sites,Idaho,2008,150.9
Both,All Sites,Illinois,2008,161.2
Both,All Sites,Indiana,2008,157.3
Both,All Sites,Iowa,2008,172.7
Both,All Sites,Kansas,2008,166.7
Both,All Sites,Kentucky,2008,179.8
Both,All Sites,Louisiana,2008,163.9
Both,All Sites,Massachusetts,2008,182
Both,All Sites,Maryland,2008,159.6
Both,All Sites,Maine,2008,167
Both,All Sites,Michigan,2008,172.3
Both,All Sites,Minnesota,2008,161
Both,All Sites,Missouri,2008,161.4
Both,All Sites,Mississippi,2008,167.9
Both,All Sites,Montana,2008,153.8
Both,All Sites,North Carolina,2008,170.8
Both,All Sites,North Dakota,2008,152.2
Both,All Sites,Nebraska,2008,158.8
Both,All Sites,New Hampshire,2008,174.7
Both,All Sites,New Jersey,2008,173.2
Both,All Sites,New Mexico,2008,151
Both,All Sites,Nevada,2008,141.5
Both,All Sites,New York,2008,178
Both,All Sites,Ohio,2008,165.1
Both,All Sites,Oklahoma,2008,157.2
Both,All Sites,Oregon,2008,159.8
Both,All Sites,Pennsylvania,2008,180.5
Both,All Sites,Rhode Island,2008,178.7
Both,All Sites,South Carolina,2008,160.6
Both,All Sites,South Dakota,2008,155.3
Both,All Sites,Tennessee,2008,169.9
Both,All Sites,Texas,2008,151
Both,All Sites,Utah,2008,153.2
Both,All Sites,Virginia,2008,153.9
Both,All Sites,Vermont,2008,168.8
Both,All Sites,Washington,2008,158.5
Both,All Sites,Wisconsin,2008,161.4
Both,All Sites,West Virginia,2008,179.9
Both,All Sites,Wyoming,2008,141.5
Both,All Sites,Alaska,2009,159.7
Both,All Sites,Alabama,2009,163.2
Both,All Sites,Arkansas,2009,152.8
Both,All Sites,Arizona,2009,146.3
